path,subject,y_1s,y_2s,y_3s
Subject 2/ADL/01.mp4#f0-63,2,0,0,0
Subject 2/ADL/01.mp4#f4-67,2,0,0,0
Subject 2/ADL/01.mp4#f8-71,2,0,0,0
Subject 2/ADL/01.mp4#f12-75,2,0,0,0
Subject 2/ADL/01.mp4#f16-79,2,0,0,0
Subject 2/ADL/01.mp4#f20-83,2,0,0,0
Subject 2/ADL/01.mp4#f24-87,2,0,0,0
Subject 2/ADL/01.mp4#f28-91,2,0,0,0
Subject 2/ADL/01.mp4#f32-95,2,0,0,0
Subject 2/ADL/01.mp4#f36-99,2,0,0,0
Subject 2/ADL/01.mp4#f40-103,2,0,0,0
Subject 2/ADL/01.mp4#f44-107,2,0,0,0
Subject 2/ADL/01.mp4#f48-111,2,0,0,0
Subject 2/ADL/01.mp4#f52-115,2,0,0,0
Subject 2/ADL/01.mp4#f56-119,2,0,0,0
Subject 2/ADL/01.mp4#f60-123,2,0,0,0
Subject 2/ADL/01.mp4#f64-127,2,0,0,0
Subject 2/ADL/01.mp4#f68-131,2,0,0,0
Subject 2/ADL/01.mp4#f72-135,2,0,0,0
Subject 2/ADL/01.mp4#f76-139,2,0,0,0
Subject 2/ADL/01.mp4#f80-143,2,0,0,0
Subject 2/ADL/01.mp4#f84-147,2,0,0,0
Subject 2/ADL/01.mp4#f88-151,2,0,0,0
Subject 2/ADL/01.mp4#f92-155,2,0,0,0
Subject 2/ADL/01.mp4#f96-159,2,0,0,0
Subject 2/ADL/01.mp4#f100-163,2,0,0,0
Subject 2/ADL/01.mp4#f104-167,2,0,0,0
Subject 2/ADL/01.mp4#f108-171,2,0,0,0
Subject 2/ADL/01.mp4#f112-175,2,0,0,0
Subject 2/ADL/01.mp4#f116-179,2,0,0,0
Subject 2/ADL/01.mp4#f120-183,2,0,0,0
Subject 2/ADL/01.mp4#f124-187,2,0,0,0
Subject 2/ADL/01.mp4#f128-191,2,0,0,0
Subject 2/ADL/01.mp4#f132-195,2,0,0,0
Subject 2/ADL/01.mp4#f136-199,2,0,0,0
Subject 2/ADL/01.mp4#f140-203,2,0,0,0
Subject 2/ADL/01.mp4#f144-207,2,0,0,0
Subject 2/ADL/01.mp4#f148-211,2,0,0,0
Subject 2/ADL/01.mp4#f152-215,2,0,0,0
Subject 2/ADL/01.mp4#f156-219,2,0,0,0
Subject 2/ADL/01.mp4#f160-223,2,0,0,0
Subject 2/ADL/01.mp4#f164-227,2,0,0,0
Subject 2/ADL/01.mp4#f168-231,2,0,0,0
Subject 2/ADL/01.mp4#f172-235,2,0,0,0
Subject 2/ADL/01.mp4#f176-239,2,0,0,0
Subject 2/ADL/01.mp4#f180-243,2,0,0,0
